ID_Capsula_Padre,Titulo_Episodio,Link_YouTube
amplificado,(HD) LA MERCOSUR FT DONAUSA / YO VENGO DE MI TIERRA : AMPLIFICADO Y EL TRUEQUE (COLOMBIA),https://www.youtube.com/watch?v=drTh_qMoMH4
amplificado,(HD) NANOOK EL ULTIMO ESQUIMAL / ZAN RYU NIPPON HEI : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=yws7hkFt60g
amplificado,(HD) JEDD HOLDEN / LONELY BOY : AMPLIFICADO (LONDRES),https://www.youtube.com/watch?v=XPKWqtI6wcc
amplificado,(HD) JOAQUÍN RICO / NACÍ LLANERO : AMPLIFICADO (FESTIVAL CIMARRÓN DE ORO),https://www.youtube.com/watch?v=f2LeLhEqwyk
amplificado,(HD) WINSTON MCANUFF & FIXI FEAT. MARKUS : AMPLIFICADO (WOMEX 2013),https://www.youtube.com/watch?v=0w2_81NUTzE
amplificado,(HD) LITTLE JESUS / AZUL : AMPLIFICADO  / (MÉXICO),https://www.youtube.com/watch?v=AsNBHqRV664
amplificado,(HD) LOS PIRAÑAS / SIN REACCION : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=p5uYNYLm4zU
amplificado,(HD) PULENTA FT. MASAI BAN GO / GOLPE AL MUNDO : AMPLIFICADO Y EL TRUEQUE (COLOMBIA),https://www.youtube.com/watch?v=sW82SPqBBlI
amplificado,(HD) HERENCIA DE TIMBIQUI / AMANECE : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=QbDao-JTEcE
amplificado,(HD) TETA & KIRA / KABARY LAVA : AMPLIFICADO EN EL WOMEX (MADAGASCAR),https://www.youtube.com/watch?v=TgLdVccQAq8
amplificado,(HD) AURORA / TRANSPARENTE : AMPLIFICADO (ESPAÑA),https://www.youtube.com/watch?v=7Lprw-EWnYA
amplificado,(HD) BURNING CARAVAN / JARDIN SECRETO : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=euGiAFfi7kY
amplificado,(HD) MCKLOPEDIA / ADORO : AMPLIFICADO (VENEZUELA),https://www.youtube.com/watch?v=_8MUX6CRb-8
amplificado,(HD) MARLEY MUERTO / TREN : AMPLIFICADO (ECUADOR),https://www.youtube.com/watch?v=E7zV0eESHz0
amplificado,(HD) NANOOK EL ULTIMO ESQUIMAL / CUMPLEAÑOS : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=YTYT0eqaJ2A
amplificado,(HD) NANOOK EL ÚLTIMO ESQUIMAL /ENTREVISTA : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=4NTFmR7LhPg
amplificado,(HD) 1280 ALMAS / SOLEDAD CRIMINAL : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=f6zQC7OEpzs
amplificado,(HD) CORAL GROUP / MAZORCA : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=LT09EKmhFV0
amplificado,(HD) AUSTIN TV / EL HOMBRE PÁNICO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=IC4xTNC2nZY
amplificado,(HD) JUAN CIREROL / MI CORAZON LLORO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=zYuwcnuIN90
amplificado,(HD) CUMBIA ALL STARS / LA DANZA DE LOS MIRLOS : AMPLIFICADO.TV (PERÚ),https://www.youtube.com/watch?v=qE-F_-8k1_M
amplificado,(HD) ELKIN ROBINSON / FISHINING : AMPLIFICADO.TV (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=ua25KKOUPW8
amplificado,(HD) 1280 SOULS / ANTIPATRIOT: AMPLIFIED (COLOMBIA),https://www.youtube.com/watch?v=UOyHlaK2gPw
amplificado,(HD) LA LA / MANGO : AMPLIFIED (PERU),https://www.youtube.com/watch?v=ksY0hPOiIZE
amplificado,(HD) AUTOBUS / MAQUINA DESTRUCCION : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=KQkhrTNosPw
amplificado,(HD) SOL OKARINA / FLORES Y VESTIDOS  : AMPLIFICADO (COLOMBIANA),https://www.youtube.com/watch?v=fP8EM_48ZVc
amplificado,(HD) ALGUACIL☆ FEAT. PIH POH / REFUGIADOS : AMPLIFICADO.TV (COLOMBIA),https://www.youtube.com/watch?v=w3HcRhoSvDk
amplificado,(HD) MORGANS HEAD NEW TROPICAL BAND / LA CUCARACHA. : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=a0yfsD6292o
amplificado,(HD) TLOWKE SEHUME / MUSIC OF THE DAY: AMPLIFICADO Y LLORONA RECORDS (SUDAFRICA),https://www.youtube.com/watch?v=v0FpM6axirI
amplificado,(HD) AUSTIN TV / (AUNQUE MIS LABIOS NO SE MUEVEN) MI CEREBRO SONRÍE : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=MRu8zFBujAI
amplificado,(HD) ELKIN ROBINSON / SWEET MENTO : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=IO6lMBW0A3A
amplificado,(HD) ALEJANDRO Y MARIA LAURA / LOS FANTASMAS : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=o-LV8VhZU0Q
amplificado,(HD) BLK JKS / TSELANE : AMPLIFICADO Y LLORONA RECORDS (SUDAFRICA),https://www.youtube.com/watch?v=rop4ZQWP6i0
amplificado,(HD) KANAKU & EL TIGRE / EL NINO ANTORCHA : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=pu1PAFyr718
amplificado,(HD) PROHIBIDO EL PASO FEAT. TAVO / BAILALO MONO : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA MINEC 2013),https://www.youtube.com/watch?v=2X6lZkJ44bA
amplificado,(HD) ROYAL RUDES / ELVIA : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=JAvupsgjPA8
amplificado,(HD) CUMBIA ALL STARS / PÁJARO BONITO : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=e6YTVZxSbOs
amplificado,(HD) AUTOBUS / ANIMAL : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=Lw9fyGfR0jc
amplificado,(HD) ORANGE HILL / SOCA MUSIC : AMPLIFICADO (SAN ANDRÉS Y PROVIDENCIA),https://www.youtube.com/watch?v=c04jMqPaElQ
amplificado,(HD) MUSIC FROM MY LAND / NO TE QUIERO ODIAR : AMPLIFICADO (SAN ANDRÉS Y PROVIDENCIA),https://www.youtube.com/watch?v=Ra05UBpzKB8
amplificado,(HD) JUAN CIREROL / EL ASESINO : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=dHQZ8rMNbPE
amplificado,(HD) PABLO MALAURIE / EL MIEDO NO : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=zUPVN_rcudU
amplificado,(HD) AUSTIN TV / ELLA NO ME CONOCE - AROUND THE WORLD - DAFT PUNK COVER : AMPLIFICADO (MÉXICO),https://www.youtube.com/watch?v=nM_uwGqaCgQ
amplificado,(HD) CREOLE GROUP / LUCELIA : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=82pi7oz6Fd0
amplificado,(HD) GRUPO CANALÓN DE TIMBIQUÍ / CUANDO VIRE A MI DIOS (ALABADO) : AMPLIFICADO,https://www.youtube.com/watch?v=bkqIE5ZTZAw
amplificado,(HD) LALA / SELVANEGRA : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=FxECgQO_rE4
amplificado,(HD) KANAKU & EL TIGRE / EL FUNERAL : AMPLIFICADO (PERÚ),https://www.youtube.com/watch?v=4LwuD2xESOQ
amplificado,(HD) ELIJAH / ALL I GOT TO DO : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=aWTaLUfc7bc
